NAZWA_ULICY;NUMER
ulica Jurija Gagarina;5
ulica Jurija Gagarina;8
ulica Jurija Gagarina;6
ulica Jurija Gagarina;3
ulica Jurija Gagarina;20
ulica Jurija Gagarina;16
Plac Bernardyński;1
ulica Bełdan;2
ulica Bełdan;4
ulica Bełdan;11
ulica Bełdan;9
ulica Dominikańska;9
ulica Dominikańska;5
ulica Dominikańska;2
ulica Dominikańska;10
ulica Dominikańska;19A
ulica Dominikańska;19
ulica Dominikańska;17
ulica Dominikańska;50
ulica Asfaltowa;9
ulica Asfaltowa;5
ulica Asfaltowa;3
ulica Asfaltowa;11
ulica Asfaltowa;7
ulica Asfaltowa;6
ulica Asfaltowa;4
ulica Asfaltowa;19
ulica Asfaltowa;17
ulica Asfaltowa;16
ulica Asfaltowa;10
ulica Asfaltowa;7A
ulica Asfaltowa;12
ulica Asfaltowa;2
ulica Asfaltowa;1
ulica Asfaltowa;13
ulica Asfaltowa;14
ulica Augustówka;22A
ulica Augustówka;11F
ulica Augustówka;11A
ulica Augustówka;11C
ulica Augustówka;9F
ulica Augustówka;22
ulica Augustówka;40
ulica Augustówka;9G
ulica Augustówka;28
ulica Augustówka;19
ulica Augustówka;9B
ulica Augustówka;11D
ulica Augustówka;36
ulica Augustówka;25A
ulica Augustówka;41
ulica Augustówka;22B
ulica Bluszczańska;19F
ulica Bluszczańska;19E
ulica Bluszczańska;19C
ulica Bluszczańska;19B
ulica Bluszczańska;19A
ulica Bluszczańska;19
ulica Jarosława Dąbrowskiego;57
ulica Jarosława Dąbrowskiego;34B
ulica Jarosława Dąbrowskiego;36
ulica Jarosława Dąbrowskiego;31
ulica Bandoski;13
ulica Bandoski;26
ulica Bandoski;16
ulica Bandoski;11
ulica Bandoski;12
ulica Bandoski;10
ulica Sternicza;60B
ulica Sternicza;111
ulica Sternicza;80A
ulica Sternicza;78A
ulica Sternicza;40
ulica Sternicza;89
ulica Sternicza;115
ulica Sternicza;80B
ulica Sternicza;115A
ulica Sternicza;44
ulica Sternicza;131
ulica Sternicza;129
ulica Sternicza;95
ulica Sternicza;83A
ulica Sternicza;74
ulica Sternicza;66
ulica Sternicza;81A
ulica Sternicza;72
ulica Sternicza;62
ulica Sternicza;67
ulica Sternicza;65
ulica Sternicza;63
ulica Tkaczy;26A
ulica Tkaczy;20
ulica Tkaczy;23A
ulica Tkaczy;30
ulica Tkaczy;13A
ulica Tkaczy;6
ulica Tkaczy;8
ulica Tkaczy;4
ulica Tkaczy;13
ulica Tkaczy;7
ulica Tkaczy;10
ulica Tkaczy;14
ulica Tkaczy;14A
ulica Tkaczy;23B
ulica Tkaczy;18
ulica Tkaczy;12
ulica Tkaczy;7C
ulica Tkaczy;36
ulica Tkaczy;15
ulica Tkaczy;3
ulica Strawczyńska;8
ulica Strawczyńska;13
ulica Strawczyńska;7
ulica Strawczyńska;5
ulica Strawczyńska;3
ulica Strawczyńska;1
ulica Strawczyńska;17
ulica Strawczyńska;15
ulica Strawczyńska;12
ulica Strawczyńska;14
ulica Strawczyńska;24
ulica Strawczyńska;23
ulica Strawczyńska;6
ulica Jerzego Waldorffa;17
ulica Jerzego Waldorffa;41B
ulica Jerzego Waldorffa;41C
ulica Jerzego Waldorffa;39
ulica Jerzego Waldorffa;33
ulica Jerzego Waldorffa;31A
ulica Jerzego Waldorffa;23
ulica Jerzego Waldorffa;21
ulica Jerzego Waldorffa;35
ulica Brzozowy Zagajnik;17
ulica Brzozowy Zagajnik;5
ulica Brzozowy Zagajnik;37
ulica Brzozowy Zagajnik;35
ulica Brzozowy Zagajnik;7
ulica Brzozowy Zagajnik;13A
ulica Bukowska;27
ulica Bukowska;2
ulica Bukowska;11
ulica Bukowska;4
ulica Bukowska;3
ulica Bukowska;33A
ulica Bukowska;33
ulica Bukowska;31A
ulica Leona Berensona;75E
ulica Leona Berensona;75D
ulica Leona Berensona;75C
ulica Leona Berensona;75
ulica Leona Berensona;73
ulica Leona Berensona;119B
ulica Leona Berensona;17H
ulica Leona Berensona;155B
ulica Leona Berensona;10H
ulica Leona Berensona;17F
ulica Leona Berensona;19F
ulica Leona Berensona;17E
ulica Leona Berensona;19G
ulica Sosnowiecka;29
ulica Sosnowiecka;27
ulica Sosnowiecka;21
ulica Sosnowiecka;19
ulica Sosnowiecka;20
ulica Sosnowiecka;18
ulica Sosnowiecka;15
ulica Sosnowiecka;11
ulica Sosnowiecka;26
ulica Sosnowiecka;24
ulica Sosnowiecka;58
ulica Sosnowiecka;45
ulica Sosnowiecka;1
ulica Sosnowiecka;32
ulica Sosnowiecka;34
ulica Sosnowiecka;36
ulica Sosnowiecka;37
ulica Sosnowiecka;17
ulica Sosnowiecka;10
ulica Sosnowiecka;12
ulica Sosnowiecka;14
ulica Sosnowiecka;2
ulica Sosnowiecka;9
ulica Sosnowiecka;7
ulica Sosnowiecka;3
ulica Sosnowiecka;5
ulica Sosnowiecka;33
ulica Sosnowiecka;31
ulica Andrzeja Sołtana;14
ulica Andrzeja Sołtana;7
ulica Andrzeja Sołtana;10
ulica Andrzeja Sołtana;1B
ulica Słomiana;7
ulica Tkaczy;5
ulica Tkaczy;2
ulica Tkaczy;23
ulica Tkaczy;34
ulica Tkaczy;16
ulica Tkaczy;25
ulica Tkaczy;22
ulica Tkaczy;8A
ulica Tkaczy;28
ulica Tkaczy;7B
ulica Tkaczy;16A
ulica Tkaczy;9
ulica Tkaczy;24B
ulica Tkaczy;24A
ulica Tkaczy;32
ulica Tkaczy;26
ulica Jerzego Waldorffa;29
ulica Jerzego Waldorffa;27
ulica Jerzego Waldorffa;7
ulica Jerzego Waldorffa;31
ulica Jerzego Waldorffa;9
ulica Jerzego Waldorffa;39A
ulica Jerzego Waldorffa;3
ulica Jerzego Waldorffa;26
ulica Jerzego Waldorffa;30
ulica Bandoski;1
ulica Bandoski;15
ulica Banioska;18
ulica Barcelońska;5
ulica Barcelońska;7
ulica Barcelońska;6C
ulica Barcelońska;6B
ulica Barcelońska;6A
ulica Barcelońska;9
ulica Barcelońska;8
ulica Barcelońska;1
ulica Barcelońska;3
ulica Bartycka;97
ulica Bartycka;83
ulica Bartycka;75
ulica Bartycka;65
ulica Bartycka;53A
ulica Bartycka;23
ulica Bartycka;21
ulica Bartycka;7
ulica Bartycka;12A
ulica Bartycka;22B
ulica Bartycka;24/26
ulica Bartycka;8
ulica Bartycka;24B
ulica Bartycka;35
ulica Bartycka;55
ulica Bartycka;26
ulica św. Bonifacego;104
ulica św. Bonifacego;104A
ulica św. Bonifacego;10
ulica św. Bonifacego;9
ulica św. Bonifacego;87
ulica św. Bonifacego;90
ulica św. Bonifacego;88
ulica św. Bonifacego;86
ulica św. Bonifacego;68
ulica Batumi;2
ulica Jerzego Waldorffa;24
ulica Jerzego Waldorffa;20
ulica Jerzego Waldorffa;41A
ulica Westerplatte;24
ulica Widawska;17
ulica Widawska;19
ulica Widawska;21
ulica Widawska;13B
ulica Widawska;7
ulica Widawska;1
ulica Widawska;27
ulica Widawska;11
ulica Widawska;10
ulica Widawska;3
ulica Aroniowa;2
ulica Aroniowa;22
ulica Aroniowa;25A
ulica Aroniowa;5
ulica Aroniowa;8
ulica Aroniowa;15
ulica Aroniowa;13
ulica Aroniowa;18
ulica Aroniowa;11A
ulica Bukowska;31
ulica Bukowska;29
ulica Bukowska;20
ulica Batumi;1
ulica Batumi;6
ulica Batumi;5
ulica Batuty;7D
ulica Batuty;7
ulica Batuty;1
ulica Batuty;1A
ulica Batuty;7B
ulica Batuty;9B
ulica Batuty;9A
ulica Batuty;7C
ulica Batuty;5
ulica Batuty;3
ulica Batuty;7A
ulica Michała Bałuckiego;4
ulica Michała Bałuckiego;6
ulica Michała Bałuckiego;23
ulica Michała Bałuckiego;12
ulica Michała Bałuckiego;27
ulica Michała Bałuckiego;8
ulica Michała Bałuckiego;10
ulica Michała Bałuckiego;5
ulica Michała Bałuckiego;19
ulica Michała Bałuckiego;20
ulica Michała Bałuckiego;22
ulica Michała Bałuckiego;25
ulica Michała Bałuckiego;30
ulica Michała Bałuckiego;33
ulica Budzikowa;4
ulica Bukietowa;11
ulica Bukietowa;5
ulica Bukietowa;7
ulica Bukietowa;15
ulica Bukietowa;12
ulica Bukietowa;13
ulica Bukietowa;9
ulica Bukietowa;10
ulica Bukietowa;8
ulica Bukietowa;6
ulica Bukowska;15
ulica Bukowska;13
ulica Bukowska;24
ulica Bukowska;25
ulica Bukowska;23
ulica Bukowska;21
ulica Bukowska;19
ulica Bukowska;17
ulica Calineczki;18
ulica Calineczki;14
ulica Czeremchowa;29
ulica Czeremchowa;26
ulica Czeremchowa;25
ulica Czeremchowa;20
ulica Czeremchowa;18
ulica Czeremchowa;14
ulica Czeremchowa;12
ulica Czeremchowa;6
ulica Czeremchowa;5
ulica Czeremchowa;3
ulica Czeremchowa;48C
ulica Czeremchowa;48B
ulica Czeremchowa;48A
ulica Czeremchowa;44A
ulica Czeremchowa;40A
ulica Bukietowa;4
ulica Bukietowa;2
ulica Bukietowa;8A
ulica Bukietowa;4A
ulica Bukowa;25
ulica Bukowa;16
ulica Bukowa;23
ulica Bukowa;8A
ulica Bełdan;5
ulica Bełdan;3
ulica Bełdan;1
ulica Bełdan;8
ulica Bełska;28
ulica Bełska;5
ulica Bełska;1/3
ulica Bełska;30C
ulica Bełska;30B
ulica Bełska;9
ulica Bełska;30A
ulica Bełska;30
ulica Bełska;26
ulica Bełska;24
ulica Bełska;10
ulica Bełska;8
ulica Bełska;12
ulica Bełska;7
ulica Bełska;2
ulica Bełska;6
ulica Bełska;1A
ulica Bełska;21
ulica Bełska;14
ulica Bełska;4
ulica Bełska;21A
ulica Białego Dębu;7
ulica Białego Dębu;4
ulica Białego Dębu;10
ulica Białego Dębu;8
ulica Białego Dębu;12
ulica Białego Dębu;5
ulica Chełmska;50
ulica Chełmska;24
ulica Chełmska;18B
ulica Chełmska;18A
ulica Chełmska;18
ulica Chełmska;31
ulica Chełmska;29
ulica Chełmska;27
ulica Chełmska;25A
ulica Chełmska;24A
ulica Chełmska;12
ulica Chełmska;34A
ulica Chełmska;13/17
ulica Chełmska;1/5
ulica Chełmska;46
ulica Chełmska;30/34
ulica Chełmska;23
ulica Chełmska;21A
ulica Chełmska;21
ulica Bluszczańska;50
ulica Bluszczańska;48
ulica Bluszczańska;73
ulica Bluszczańska;75A
ulica Bluszczańska;75
ulica Bluszczańska;71
ulica Bluszczańska;69C
ulica Bluszczańska;69B
ulica Bluszczańska;68
ulica Bluszczańska;72
ulica Bluszczańska;3D
ulica Bluszczańska;34
ulica Bluszczańska;32
ulica Bluszczańska;11G
ulica Bluszczańska;74
ulica Bluszczańska;76
ulica Bluszczańska;6
ulica Bluszczańska;4
ulica Bluszczańska;1
ulica Bluszczańska;11A
ulica Czeremchowa;17B
ulica Czeremchowa;56
ulica Czeremchowa;33
ulica Czeremchowa;32
ulica Czeremchowa;31
ulica Czeremchowa;34
ulica Czeremchowa;36
ulica Czeremchowa;40
ulica Czeremchowa;44
ulica Czeremchowa;19
ulica Czeremchowa;17
ulica Czeremchowa;54
ulica Bluszczańska;69
ulica Bluszczańska;69A
ulica św. Andrzeja Boboli;4
ulica Ciechocińska;8A
ulica Ciechocińska;5
ulica Ciechocińska;26B
ulica Ciechocińska;26A
ulica Ciechocińska;26
ulica Cieplicka;5
ulica Cieplicka;3
ulica Cieplicka;1
ulica Cieplicka;1A
ulica Czeremchowa;15
ulica Czeremchowa;1A
ulica Czeremchowa;20A
ulica Czeremchowa;17A
ulica Dynamiczna;16
ulica Dynamiczna;6
ulica Słomiana;9
ulica Słomiana;15
ulica Słomiana;14
ulica Słomiana;5
ulica Słomiana;24
ulica Słomiana;5A
ulica Słomiana;27
ulica Słomiana;20A
ulica Słomiana;12A
ulica Słomiana;7A
ulica Słomiana;28
ulica Słomiana;19
ulica Słomiana;13A
ulica Słomiana;15A
ulica Słomiana;25B
ulica Telefoniczna;20A
ulica Telefoniczna;20
ulica Telefoniczna;24
ulica Telefoniczna;14
ulica Telefoniczna;4
ulica Telefoniczna;32
ulica Telefoniczna;18
ulica Telefoniczna;16
ulica Telefoniczna;10
ulica Telefoniczna;2
ulica Telefoniczna;2A
ulica Telefoniczna;22
ulica Telefoniczna;26
ulica Telefoniczna;28
ulica Telefoniczna;12
ulica Telefoniczna;30
ulica Telefoniczna;30A
ulica Aluzyjna;25A
ulica Aluzyjna;29
ulica Aluzyjna;23
ulica Aluzyjna;5A
ulica Aluzyjna;24
ulica Aluzyjna;20
ulica Aluzyjna;26
ulica Aluzyjna;6A
ulica Aluzyjna;6
ulica Aluzyjna;32
ulica Aluzyjna;3B
ulica Aluzyjna;13
ulica Aluzyjna;17
ulica Aluzyjna;20C
ulica Aluzyjna;33D
ulica Aluzyjna;33E
ulica Tkaczy;27
ulica Tkaczy;24
ulica Anecińska;5A
ulica Anecińska;1A
ulica Anecińska;13A
ulica Anecińska;15A
ulica Anecińska;15B
ulica Anecińska;2
ulica Anecińska;17
ulica Anecińska;12
ulica Anecińska;13
ulica Anecińska;11A
ulica Anecińska;4
ulica Anecińska;6
ulica Anecińska;14
ulica Anecińska;19
ulica Anilinowa;1
ulica Aroniowa;14
ulica Aroniowa;23A
ulica Aroniowa;15A
ulica Aroniowa;11
ulica Aroniowa;10
ulica Aroniowa;19A
ulica Cieplicka;6
ulica Cieplicka;8
ulica Cieszyńska;9
ulica Cieszyńska;7
ulica Cieszyńska;5
ulica Cieszyńska;7A
ulica Cieszyńska;6
ulica Cieszyńska;8
ulica Cieszyńska;4
ulica Cieszyńska;2
ulica Cieszyńska;2A
ulica Cieszyńska;1A
ulica Cisowa;14A
ulica Cisowa;10
ulica św. Bonifacego;123
ulica św. Bonifacego;121
ulica św. Bonifacego;83/85
ulica św. Bonifacego;119
ulica św. Bonifacego;115
ulica św. Bonifacego;79
ulica św. Bonifacego;77
ulica św. Bonifacego;114A
ulica św. Bonifacego;114
ulica św. Bonifacego;72
ulica św. Bonifacego;14
ulica św. Bonifacego;143
ulica św. Bonifacego;18
ulica św. Bonifacego;111C
ulica św. Bonifacego;111B
ulica św. Bonifacego;111A
ulica św. Bonifacego;111
ulica św. Bonifacego;110
ulica św. Bonifacego;102
ulica Cypryjska;99
ulica Cypryjska;23
ulica Cypryjska;6
ulica Cypryjska;61
ulica Cypryjska;83
ulica Cypryjska;25
ulica Cypryjska;37
ulica Cypryjska;35
ulica Cypryjska;32
ulica Cypryjska;47
ulica Cypryjska;40
ulica Cypryjska;15
ulica Cypryjska;79
ulica Cypryjska;77
ulica Cypryjska;33
ulica Cypryjska;36
ulica Cypryjska;87
ulica Cypryjska;57
ulica Cypryjska;4
ulica Cypryjska;54
ulica Cypryjska;51
ulica Cypryjska;50
ulica Cypryjska;26
ulica Cypryjska;101
ulica Cypryjska;91
ulica Cypryjska;69
ulica Bukowa;8
ulica Bukowa;6
ulica Bukowa;3
ulica Aroniowa;19
ulica Aroniowa;29A
ulica Aroniowa;5A
ulica Aroniowa;25
ulica Aroniowa;3A
ulica Artyleryjska;35
ulica Artyleryjska;45
ulica Artyleryjska;43
ulica Artyleryjska;41A
ulica Artyleryjska;41
ulica Artyleryjska;37
ulica Artyleryjska;39
ulica Bukowa;9
ulica Bukowa;2
ulica Bukowa;7A
ulica Bukowa;1
ulica Bukowa;7
ulica Bukowa;4
ulica Bukowa;5
ulica Bukowa;18
ulica Bukowa;21
ulica Bukowa;19
ulica Bukowa;17
ulica Bukowa;14
ulica Bukowa;15
ulica Bukowa;12
ulica Artyleryjska;15
ulica Artyleryjska;17
ulica Artyleryjska;5
ulica Artyleryjska;7
ulica Artyleryjska;93
ulica Artyleryjska;33
ulica Stanisława Rostworowskiego;14
ulica Stanisława Rostworowskiego;10
ulica Stanisława Rostworowskiego;24
ulica Stanisława Rostworowskiego;16B
ulica Stanisława Rostworowskiego;6
ulica Stanisława Rostworowskiego;20
ulica Stanisława Rostworowskiego;16
ulica Stanisława Rostworowskiego;22
ulica Stanisława Rostworowskiego;40
ulica Stanisława Rostworowskiego;36
ulica Stanisława Rostworowskiego;4
ulica Stanisława Rostworowskiego;8
ulica Stanisława Rostworowskiego;12
ulica Stanisława Rostworowskiego;16A
ulica Stanisława Rostworowskiego;2
ulica Stanisława Rostworowskiego;34
ulica Stanisława Rostworowskiego;30
ulica Rotundy;7
ulica Rotundy;5
ulica Rotundy;4
ulica Dynamiczna;8
ulica Dynamiczna;5
ulica Dynamiczna;12A
ulica Dynamiczna;15
ulica Dynamiczna;15A
ulica Dynamiczna;13A
ulica Dynamiczna;11
ulica Dynamiczna;13
ulica Dynamiczna;20
ulica Dynamiczna;10
ulica Dziatwy;18A
ulica Dziatwy;6
ulica Dziatwy;16
ulica Dziatwy;16A
ulica Dziatwy;16C
ulica Dziatwy;14C
ulica Dziatwy;14B
ulica Dziatwy;14A
ulica Dziatwy;14
ulica Dziatwy;4
ulica Sielecka;67/69
ulica Sielecka;6/8
ulica Sielecka;28
ulica Sielecka;26
ulica Sielecka;26A
Aleja gen. Władysława Sikorskiego;9C
Aleja gen. Władysława Sikorskiego;5
Aleja gen. Władysława Sikorskiego;9B
Aleja gen. Władysława Sikorskiego;9A
Aleja gen. Władysława Sikorskiego;3A
Aleja gen. Władysława Sikorskiego;3
Aleja gen. Władysława Sikorskiego;9
Aleja gen. Władysława Sikorskiego;9D
Aleja gen. Władysława Sikorskiego;22
Aleja gen. Władysława Sikorskiego;11
Aleja gen. Władysława Sikorskiego;13
ulica Skałacka;20
ulica Skałacka;22
ulica Skolimowska;4
ulica Skolimowska;5
ulica Skolimowska;3
ulica Skolimowska;6
ulica Skrzetuskiego;39B
ulica Skrzetuskiego;8B
ulica Skrzetuskiego;34
ulica Skrzetuskiego;38A
ulica Skrzetuskiego;16B
ulica Skrzetuskiego;36A
ulica Tawerny;1
ulica Chełmska;14
ulica Chełmska;6/8
ulica Chełmska;36
ulica Chełmska;20
ulica Chełmska;38
ulica Chełmska;42/44
ulica Chełmska;10
ulica Chochołowska;14
ulica Chochołowska;7
ulica Chochołowska;7A
ulica Chochołowska;12
ulica Chochołowska;17
ulica Chochołowska;15
ulica Chochołowska;13A
ulica Dolna;2A
ulica Dolna;12
ulica Dolna;24
ulica Dolna;20
ulica Dziatwy;2
ulica Dziatwy;16B
ulica Dziatwy;12
ulica Dziatwy;18
ulica Dziatwy;20B
ulica Dziatwy;20C
ulica Dziatwy;18C
ulica Dziatwy;20
ulica Dziatwy;18B
ulica Dziatwy;20A
ulica Dzikiego Wina;8
ulica Dzikiego Wina;9
ulica Bobrowa;14A
ulica Dolna;21A
ulica Dolna;19
ulica Dolna;10
ulica Dolna;8
ulica Dolna;37
ulica Dolna;6
ulica Dolna;7
ulica Dolna;5A
ulica Dolna;35
ulica Dolna;30A
ulica Dolna;30
ulica Dolna;26/28
ulica Dolna;22
ulica Dolna;42
ulica Dolna;21
ulica Dolna;15
ulica Dolna;40
ulica Dolna;4
ulica Dolna;11
ulica Dolna;21B
ulica Dolna;15A
ulica Dolna;33
ulica Dolna;1
ulica Domaniewska;37A
ulica Domaniewska;49
ulica Domaniewska;44A
ulica Domaniewska;50A
ulica Domaniewska;41B
ulica Domaniewska;17/19A
ulica Domaniewska;35C
ulica Domaniewska;40A
ulica Domaniewska;46
ulica Cisowa;9A
ulica Cisowa;16
ulica Cisowa;9
ulica Cisowa;12
ulica Cisowa;4
ulica Cisowa;3
ulica Cisowa;13A
ulica Cisowa;13
ulica Bobrowa;14
ulica Bobrowa;10A
ulica Bobrowa;6
ulica Bobrowa;12
ulica Boczańska;15E
ulica Boczańska;7
ulica Boczańska;8B
ulica Boczańska;21A
ulica Boczańska;17
ulica Boczańska;23B
ulica Boczańska;19
ulica Boczańska;10
ulica Boczańska;23A
ulica Boczańska;10B
ulica Boczańska;1
ulica Aluzyjna;33C
ulica Aluzyjna;33F
ulica Aluzyjna;18B
ulica Aluzyjna;18C
ulica Aluzyjna;4A
ulica Aluzyjna;4
ulica Aluzyjna;23E
ulica Aluzyjna;23F
ulica Aluzyjna;21G
ulica Aluzyjna;21F
ulica Aluzyjna;1A
ulica Aluzyjna;27A
ulica Aluzyjna;1B
ulica Aluzyjna;3
ulica Aluzyjna;1
ulica Aluzyjna;15A
ulica Aluzyjna;31
ulica Aluzyjna;31B
ulica Leona Berensona;155E
ulica Leona Berensona;157B
ulica Leona Berensona;59
ulica Leona Berensona;6
ulica Leona Berensona;53
ulica Cisowa;1
ulica Cisowa;12A
ulica Cisowa;11
ulica Dominikańska;48
ulica Dominikańska;32
ulica Domowa;1C
ulica Domowa;1A
ulica Domowa;1B
ulica Domowa;8
ulica Domowa;1E
ulica Domowa;6
ulica Domowa;7
ulica Domowa;5
ulica Domowa;3
ulica Domowa;4
ulica Domowa;2
ulica Dożynkowa;6
ulica Dożynkowa;6A
ulica Dożynkowa;4
ulica Dożynkowa;8
ulica Drużynowa;4
ulica Drużynowa;10
ulica Drużynowa;8
ulica Drużynowa;6
ulica Drużynowa;5
ulica Drużynowa;3A
ulica Drużynowa;3
ulica Drużynowa;1
ulica Drużynowa;12
ulica Dworkowa;9
ulica Dworkowa;7
ulica Dworkowa;3
ulica Dworkowa;4
ulica Dworkowa;2
ulica Dworkowa;1A
ulica Dworkowa;1
ulica Dworkowa;5
ulica Dworska;3
ulica Augustówka;22C
ulica Augustówka;24
ulica Leona Berensona;6A
ulica Leona Berensona;6B
ulica Leona Berensona;151G
ulica Leona Berensona;151F
ulica Leona Berensona;151E
ulica Leona Berensona;151B
ulica Leona Berensona;151A
ulica Leona Berensona;153G
ulica Leona Berensona;17C
ulica Leona Berensona;153D
ulica Leona Berensona;153C
ulica Augustówka;11B
ulica Augustówka;9
ulica Cypryjska;45
ulica Cypryjska;65
ulica Cypryjska;52
ulica Cypryjska;55
ulica Cypryjska;18
ulica Cypryjska;21
ulica Cypryjska;9
ulica Cypryjska;71
ulica Jarosława Dąbrowskiego;32
ulica Jarosława Dąbrowskiego;26
ulica Jarosława Dąbrowskiego;25
ulica Jarosława Dąbrowskiego;23
ulica Jarosława Dąbrowskiego;20
ulica Jarosława Dąbrowskiego;15A
ulica Jarosława Dąbrowskiego;11
ulica Jarosława Dąbrowskiego;9
ulica Jarosława Dąbrowskiego;54
ulica Jarosława Dąbrowskiego;50
ulica Jarosława Dąbrowskiego;48
ulica Jarosława Dąbrowskiego;51
ulica Jarosława Dąbrowskiego;49
ulica Jarosława Dąbrowskiego;47
ulica Jarosława Dąbrowskiego;45
ulica Jarosława Dąbrowskiego;43
ulica Jarosława Dąbrowskiego;42
ulica Jarosława Dąbrowskiego;39
ulica Jarosława Dąbrowskiego;38
ulica Jarosława Dąbrowskiego;33
ulica Jarosława Dąbrowskiego;44
ulica Jarosława Dąbrowskiego;77
ulica Jarosława Dąbrowskiego;116
ulica Jarosława Dąbrowskiego;82B
ulica Jarosława Dąbrowskiego;75
ulica Jarosława Dąbrowskiego;82A
ulica Jarosława Dąbrowskiego;82C
ulica Bartycka;115A
ulica Bartycka;79
ulica Bartycka;65A
ulica Bartycka;55A
ulica Bartycka;55B
ulica Bartycka;85
ulica Bartycka;16
ulica Bartycka;93
ulica Bartycka;91
ulica Taśmowa;8A
ulica Leona Berensona;155C
ulica Leona Berensona;155A
ulica Leona Berensona;119
ulica Leona Berensona;76
ulica Leona Berensona;17K
ulica Leona Berensona;7A
ulica Leona Berensona;11D
ulica Leona Berensona;19B
ulica Leona Berensona;4D
ulica Leona Berensona;157E
ulica Leona Berensona;7
ulica Leona Berensona;75N
ulica Anilinowa;3
ulica Rotundy;6
ulica Rotundy;9
ulica Rotundy;3
ulica Rotundy;8
ulica Rozalińska;5
ulica Rozalińska;10
ulica Rozalińska;34
ulica Rozalińska;32
ulica Rozalińska;6
ulica Strawczyńska;4
ulica Strawczyńska;2
ulica Taśmowa;5
ulica Taśmowa;7A
ulica Taśmowa;1
ulica Taśmowa;7
ulica Taśmowa;10
ulica Taśmowa;8B
ulica Taśmowa;6
ulica Taśmowa;4B
ulica Taśmowa;3A
ulica Taśmowa;3
ulica Taśmowa;8
ulica Taśmowa;4A
ulica Taśmowa;4
ulica Tenisowa;10A
ulica Tenisowa;7
ulica Tenisowa;10F
ulica Tenisowa;10D
ulica Tenisowa;10B
ulica Tenisowa;8
ulica Tenisowa;10E
ulica Tenisowa;10C
ulica Teresińska;9
ulica Truskawiecka;13
ulica Truskawiecka;11A
ulica Truskawiecka;14
ulica Truskawiecka;12
ulica Truskawiecka;3
ulica Truskawiecka;1A
ulica Truskawiecka;21
ulica Truskawiecka;26
ulica Truskawiecka;24
ulica Truskawiecka;22
Aleja Wilanowska;261S
Aleja Wilanowska;261U
Aleja Wilanowska;43C
Aleja Wilanowska;43A
Aleja Wilanowska;230
Aleja Wilanowska;97E
Aleja Wilanowska;303
Aleja Wilanowska;311
Aleja Wilanowska;331
Aleja Wilanowska;329A
Aleja Wilanowska;329
Aleja Wilanowska;261F
Aleja Wilanowska;315
Aleja Wilanowska;303A
ulica Domaniewska;50C
ulica Jurija Gagarina;7
ulica Jurija Gagarina;33
ulica Jurija Gagarina;32A
ulica Mahatmy Gandhiego;5
ulica Mahatmy Gandhiego;19
ulica Mahatmy Gandhiego;8
ulica Mahatmy Gandhiego;16
ulica Mahatmy Gandhiego;21A
ulica Mahatmy Gandhiego;7
ulica Mahatmy Gandhiego;6
ulica Mahatmy Gandhiego;27
ulica Mahatmy Gandhiego;14
ulica Mahatmy Gandhiego;13
ulica Mahatmy Gandhiego;3
ulica Garażowa;7
ulica Garażowa;4
ulica Garażowa;5A
ulica Garażowa;5
ulica Aleksandra Gierymskiego;12A
ulica Aleksandra Gierymskiego;23
ulica Aleksandra Gierymskiego;7
ulica Aleksandra Gierymskiego;5
ulica Aleksandra Gierymskiego;3
ulica Aleksandra Gierymskiego;1
ulica Aleksandra Gierymskiego;19
ulica Aleksandra Gierymskiego;17
ulica Aleksandra Gierymskiego;14
ulica Aleksandra Gierymskiego;13
ulica Aleksandra Gierymskiego;12
ulica Aleksandra Gierymskiego;11
ulica Białego Dębu;3
ulica Białego Dębu;1
ulica Białego Dębu;9
ulica Białej Floty;2
ulica Białej Floty;8A
ulica Białej Floty;8
ulica Białej Floty;6A
ulica Białej Floty;6
ulica Białej Floty;4A
ulica Białej Floty;4
ulica Białej Floty;2A
ulica Białej Koniczyny;11
ulica Białej Koniczyny;15
ulica Augustówka;15
ulica Augustówka;11H
ulica Augustówka;11G
ulica Augustówka;25
ulica Augustówka;30
ulica Augustówka;26
ulica Augustówka;9A
ulica Augustówka;9C
ulica Augustówka;23
ulica Augustówka;3
ulica Augustówka;11E
ulica Augustówka;22D
ulica Augustówka;24A
ulica Augustówka;9E
ulica Augustówka;9D
ulica Augustówka;11I
ulica Augustówka;25B
ulica Augustówka;23A
ulica Augustówka;21
ulica Baboszewska;1
ulica Baboszewska;6
ulica Baboszewska;8A
ulica Baboszewska;8
ulica Jana Sebastiana Bacha;34
ulica Jana Sebastiana Bacha;15
ulica Jana Sebastiana Bacha;2
ulica Jana Sebastiana Bacha;26B
ulica Jana Sebastiana Bacha;34A
ulica św. Andrzeja Boboli;13A
ulica św. Andrzeja Boboli;2
ulica św. Andrzeja Boboli;6
ulica św. Andrzeja Boboli;8
ulica św. Andrzeja Boboli;11
ulica św. Andrzeja Boboli;13
ulica św. Andrzeja Boboli;9
ulica Bobrowiecka;10
ulica Bobrowiecka;11E
ulica Bobrowiecka;4
ulica Bobrowiecka;11A
ulica Bobrowiecka;4A
ulica Bobrowiecka;9
ulica Bobrowiecka;2B
ulica Strawczyńska;11
ulica Strawczyńska;21
ulica Strawczyńska;19
ulica Strońska;3
ulica Strońska;1
ulica Strzelców;1A
ulica Strzelców;1E
ulica Strzelców;8
ulica Strzelców;1
